basin,year,site,country,latitude,longitude,eqr,urb.full,crop.full,tree.full,temp.change
BE03,2003,BEVL_VMM_84000,belgium,51.4871821,5.0331371,0.6,0.027925532,0.753989362,0.146276596,0.044706953
BE03,2003,BEVL_VMM_73000,belgium,51.4174412,4.7699805,0.3,0.086009799,0.649428416,0.112683723,0.044706953
BE03,2003,BEVL_VMM_100000,belgium,51.3030486,5.4871359,0.45,NA,NA,NA,0.044706953
BE03,2004,BEVL_VMM_60000,belgium,51.4820836,4.473607,0.5,0.175074184,0.670623145,0.044510386,0.044706953
BE03,2004,BEVL_VMM_67000,belgium,51.4211058,4.6411677,0.7,NA,NA,NA,0.044706953
BE03,2004,BEVL_VMM_100000,belgium,51.3030486,5.4871359,0.45,NA,NA,NA,0.044706953
BE03,2004,BEVL_VMM_86000,belgium,51.4715636,5.0778282,0.5,0.062730627,0.611316113,0.290282903,0.044706953
BE03,2004,BEVL_VMM_72000,belgium,51.5050592,4.7810662,0.75,0.069521798,0.680046092,0.120990974,0.044706953
BE03,2004,BEVL_VMM_72500,belgium,51.4452341,4.7472234,0.55,0.07473983,0.663197729,0.136234626,0.044706953
BE03,2004,BEVL_VMM_80000,belgium,51.4279319,4.7799054,0.95,0.018504241,0.691595991,0.191981496,0.044706953
BE03,2004,BEVL_VMM_84000,belgium,51.4871821,5.0331371,0.6,0.079787234,0.706117021,0.142287234,0.044706953
BE03,2004,BEVL_VMM_73000,belgium,51.4174412,4.7699805,0.3,0.109417529,0.626565052,0.112683723,0.044706953
BE03,2005,BEVL_VMM_60000,belgium,51.4820836,4.473607,0.5,0.175074184,0.670623145,0.044510386,0.044706953
BE03,2005,BEVL_VMM_72000,belgium,51.5050592,4.7810662,0.75,0.069521798,0.680046092,0.120990974,0.044706953
BE03,2005,BEVL_VMM_80000,belgium,51.4279319,4.7799054,1,0.018504241,0.691595991,0.191981496,0.044706953
BE03,2005,BEVL_VMM_84000,belgium,51.4871821,5.0331371,0.6,0.079787234,0.706117021,0.142287234,0.044706953
BE03,2005,BEVL_VMM_67000,belgium,51.4211058,4.6411677,0.8,NA,NA,NA,0.044706953
BE03,2005,BEVL_VMM_72500,belgium,51.4452341,4.7472234,0.6,0.07473983,0.663197729,0.136234626,0.044706953
BE03,2005,BEVL_VMM_73000,belgium,51.4174412,4.7699805,0.3,0.109417529,0.626565052,0.112683723,0.044706953
BE03,2005,BEVL_VMM_100000,belgium,51.3030486,5.4871359,0.45,NA,NA,NA,0.044706953
BE03,2005,BEVL_VMM_86000,belgium,51.4715636,5.0778282,0.5,0.062730627,0.611316113,0.290282903,0.044706953
BE04,1999,BEVL_VMM_173000,belgium,50.8934375,3.6800011,0.1,0.089121194,0.790721796,0.062732616,0.054967732
BE04,1999,BEVL_VMM_744000,belgium,50.7207141,3.3644229,0.05,NA,NA,NA,0.054967732
BE04,1999,BEVL_VMM_745000,belgium,50.7279684,3.3466331,0.15,0.188541667,0.80625,0,0.054967732
BE04,1999,BEVL_VMM_179000,belgium,50.70083,3.3523033,0.25,0.08409777,0.786149708,0.069592079,0.054967732
BE04,1999,BEVL_VMM_657000,belgium,50.830708,3.2870214,0.65,NA,NA,NA,0.054967732
BE04,2000,BEVL_VMM_745000,belgium,50.7279684,3.3466331,0.15,0.190625,0.804166667,0,0.054967732
BE04,2000,BEVL_VMM_657000,belgium,50.830708,3.2870214,0.7,NA,NA,NA,0.054967732
BE04,2000,BEVL_VMM_744000,belgium,50.7207141,3.3644229,0.05,NA,NA,NA,0.054967732
BE04,2000,BEVL_VMM_179000,belgium,50.70083,3.3523033,0.25,0.086388142,0.7839533,0.069486369,0.054967732
BE04,2000,BEVL_VMM_173000,belgium,50.8934375,3.6800011,0.25,0.091409221,0.788515121,0.062641095,0.054967732
BE04,2002,BEVL_VMM_745000,belgium,50.7279684,3.3466331,0.05,0.233333333,0.761458333,0,0.054967732
BE04,2002,BEVL_VMM_657000,belgium,50.830708,3.2870214,0.85,NA,NA,NA,0.054967732
BE04,2002,BEVL_VMM_179000,belgium,50.70083,3.3523033,0.45,0.103383878,0.768120368,0.069169241,0.054967732
BE04,2002,BEVL_VMM_744000,belgium,50.7207141,3.3644229,0.15,NA,NA,NA,0.054967732
BE04,2002,BEVL_VMM_173000,belgium,50.8934375,3.6800011,0.2,0.108808396,0.772183693,0.062336025,0.054967732
BE04,2003,BEVL_VMM_745000,belgium,50.7279684,3.3466331,0.1,0.233333333,0.761458333,0,0.054967732
BE04,2003,BEVL_VMM_657000,belgium,50.830708,3.2870214,0.8,NA,NA,NA,0.054967732
BE04,2003,BEVL_VMM_744000,belgium,50.7207141,3.3644229,0,NA,NA,NA,0.054967732
BE04,2003,BEVL_VMM_179000,belgium,50.70083,3.3523033,0.3,0.111840637,0.759851537,0.069157495,0.054967732
BE04,2003,BEVL_VMM_173000,belgium,50.8934375,3.6800011,0.15,0.117024955,0.764129838,0.062325856,0.054967732
BE04,2005,BEVL_VMM_179000,belgium,50.70083,3.3523033,0.3,0.122188421,0.749891354,0.068969567,0.054967732
BE04,2005,BEVL_VMM_173000,belgium,50.8934375,3.6800011,0.2,0.126939738,0.754550631,0.062163152,0.054967732
BE04,2005,BEVL_VMM_657000,belgium,50.830708,3.2870214,0.8,NA,NA,NA,0.054967732
BE04,2005,BEVL_VMM_745000,belgium,50.7279684,3.3466331,0.1,0.2375,0.757291667,0,0.054967732
BE04,2005,BEVL_VMM_744000,belgium,50.7207141,3.3644229,0.15,NA,NA,NA,0.054967732
BE04,2007,BEVL_VMM_173000,belgium,50.8934375,3.6800011,0.4,0.126970245,0.754520124,0.062102138,0.054967732
BE04,2007,BEVL_VMM_745000,belgium,50.7279684,3.3466331,0.05,0.2375,0.757291667,0,0.054967732
BE04,2007,BEVL_VMM_179000,belgium,50.70083,3.3523033,0.3,0.122223658,0.749856118,0.068899094,0.054967732
BE04,2007,BEVL_VMM_744000,belgium,50.7207141,3.3644229,0.2,NA,NA,NA,0.054967732
BE04,2007,BEVL_VMM_657000,belgium,50.830708,3.2870214,0.9,NA,NA,NA,0.054967732
BE04,2008,BEVL_VMM_745000,belgium,50.7279684,3.3466331,0.2,0.2375,0.757291667,0,0.054967732
BE04,2008,BEVL_VMM_744000,belgium,50.7207141,3.3644229,0.15,NA,NA,NA,0.054967732
BE04,2008,BEVL_VMM_657000,belgium,50.830708,3.2870214,0.75,NA,NA,NA,0.054967732
BE04,2008,BEVL_VMM_179000,belgium,50.70083,3.3523033,0.35,0.122247149,0.749738663,0.069004804,0.054967732
BE04,2008,BEVL_VMM_173000,belgium,50.8934375,3.6800011,0.4,0.126990583,0.754418434,0.062193659,0.054967732
BE04,2009,BEVL_VMM_744000,belgium,50.7207141,3.3644229,0.3,NA,NA,NA,0.054967732
BE04,2009,BEVL_VMM_657000,belgium,50.830708,3.2870214,0.8,NA,NA,NA,0.054967732
BE04,2009,BEVL_VMM_745000,belgium,50.7279684,3.3466331,0.2,0.2375,0.757291667,0,0.054967732
BE04,2009,BEVL_VMM_179000,belgium,50.70083,3.3523033,0.25,0.122247149,0.749738663,0.069004804,0.054967732
BE04,2009,BEVL_VMM_173000,belgium,50.8934375,3.6800011,0.3,0.126990583,0.754418434,0.062193659,0.054967732
BE04,2010,BEVL_VMM_657000,belgium,50.830708,3.2870214,0.6,NA,NA,NA,0.054967732
BE04,2010,BEVL_VMM_179000,belgium,50.70083,3.3523033,0.35,0.122247149,0.749738663,0.069004804,0.054967732
BE04,2010,BEVL_VMM_744000,belgium,50.7207141,3.3644229,0.3,NA,NA,NA,0.054967732
BE04,2010,BEVL_VMM_173000,belgium,50.8934375,3.6800011,0.3,0.126990583,0.754418434,0.062193659,0.054967732
BE04,2010,BEVL_VMM_745000,belgium,50.7279684,3.3466331,0.15,0.2375,0.757291667,0,0.054967732
BE04,2011,BEVL_VMM_173000,belgium,50.8934375,3.6800011,0.25,0.126990583,0.754428603,0.06218349,0.054967732
BE04,2011,BEVL_VMM_745000,belgium,50.7279684,3.3466331,0.2,0.2375,0.757291667,0,0.054967732
BE04,2011,BEVL_VMM_179000,belgium,50.70083,3.3523033,0.35,0.122247149,0.749750408,0.068993058,0.054967732
BE04,2011,BEVL_VMM_744000,belgium,50.7207141,3.3644229,0.3,NA,NA,NA,0.054967732
BE04,2011,BEVL_VMM_657000,belgium,50.830708,3.2870214,0.8,NA,NA,NA,0.054967732
BE04,2013,BEVL_VMM_745000,belgium,50.7279684,3.3466331,0.2,0.2375,0.757291667,0,0.054967732
BE04,2013,BEVL_VMM_744000,belgium,50.7207141,3.3644229,0.3,NA,NA,NA,0.054967732
BE04,2013,BEVL_VMM_173000,belgium,50.8934375,3.6800011,0.4,0.126990583,0.754428603,0.06218349,0.054967732
BE04,2013,BEVL_VMM_657000,belgium,50.830708,3.2870214,0.75,NA,NA,NA,0.054967732
BE04,2013,BEVL_VMM_179000,belgium,50.70083,3.3523033,0.4,0.122247149,0.749750408,0.068993058,0.054967732
BE04,2015,BEVL_VMM_745000,belgium,50.7279684,3.3466331,0.2,0.2375,0.757291667,0,0.054967732
BE04,2015,BEVL_VMM_744000,belgium,50.7207141,3.3644229,0.15,NA,NA,NA,0.054967732
BE04,2015,BEVL_VMM_657000,belgium,50.830708,3.2870214,0.7,NA,NA,NA,0.054967732
BE04,2015,BEVL_VMM_179000,belgium,50.70083,3.3523033,0.35,0.122258894,0.749374552,0.069686043,0.054967732
BE04,2015,BEVL_VMM_173000,belgium,50.8934375,3.6800011,0.5,0.127000753,0.754103195,0.062783461,0.054967732
BE04,2016,BEVL_VMM_657000,belgium,50.830708,3.2870214,0.85,NA,NA,NA,0.054967732
BE04,2016,BEVL_VMM_179000,belgium,50.70083,3.3523033,0.4,0.122352858,0.749245352,0.06974477,0.054967732
BE04,2016,BEVL_VMM_744000,belgium,50.7207141,3.3644229,0.25,NA,NA,NA,0.054967732
BE04,2016,BEVL_VMM_173000,belgium,50.8934375,3.6800011,0.45,0.127092274,0.753981167,0.062834306,0.054967732
BE04,2016,BEVL_VMM_745000,belgium,50.7279684,3.3466331,0.25,0.2375,0.757291667,0,0.054967732
BE04,2018,BEVL_VMM_179000,belgium,50.70083,3.3523033,0.35,0.122564277,0.748904732,0.069897462,0.054967732
BE04,2018,BEVL_VMM_173000,belgium,50.8934375,3.6800011,0.4,0.127275316,0.753686266,0.062966503,0.054967732
BE04,2018,BEVL_VMM_657000,belgium,50.830708,3.2870214,0.85,NA,NA,NA,0.054967732
BE04,2018,BEVL_VMM_745000,belgium,50.7279684,3.3466331,0.3,0.2375,0.757291667,0,0.054967732
BE04,2018,BEVL_VMM_744000,belgium,50.7207141,3.3644229,0.2,NA,NA,NA,0.054967732
BE04,2019,BEVL_VMM_745000,belgium,50.7279684,3.3466331,0.4,0.2375,0.757291667,0,0.054967732
BE04,2019,BEVL_VMM_744000,belgium,50.7207141,3.3644229,0.2,NA,NA,NA,0.054967732
BE04,2019,BEVL_VMM_179000,belgium,50.70083,3.3523033,0.3,0.122658241,0.74862284,0.070144117,0.054967732
BE04,2019,BEVL_VMM_657000,belgium,50.830708,3.2870214,0.9,NA,NA,NA,0.054967732
BE04,2019,BEVL_VMM_173000,belgium,50.8934375,3.6800011,0.4,0.127366837,0.753432041,0.063180052,0.054967732
BE04,2020,BEVL_VMM_745000,belgium,50.7279684,3.3466331,0.25,0.2375,0.757291667,0,0.054967732
BE04,2020,BEVL_VMM_179000,belgium,50.70083,3.3523033,0.35,0.122658241,0.748634586,0.070120626,0.054967732
BE04,2020,BEVL_VMM_744000,belgium,50.7207141,3.3644229,0.2,NA,NA,NA,0.054967732
BE04,2020,BEVL_VMM_657000,belgium,50.830708,3.2870214,0.8,NA,NA,NA,0.054967732
BE04,2020,BEVL_VMM_173000,belgium,50.8934375,3.6800011,0.35,0.127366837,0.75344221,0.063159714,0.054967732
BE04,2022,BEVL_VMM_745000,belgium,50.7279684,3.3466331,0.3,0.238541667,0.75625,0,0.054967732
BE04,2022,BEVL_VMM_744000,belgium,50.7207141,3.3644229,0.6,NA,NA,NA,0.054967732
BE04,2022,BEVL_VMM_179000,belgium,50.70083,3.3523033,0.4,0.124549266,0.746802288,0.070097135,0.054967732
BE04,2022,BEVL_VMM_657000,belgium,50.830708,3.2870214,0.8,NA,NA,NA,0.054967732
