basin,year,tax_subtraction,tax_addition,bio_subtraction,bio_addition,eco_subtraction,eco_addition
FR02,2010,-0.050520091,-0.038389804,-0.024414885,-0.032577818,-0.029845618,0.008310519
FR02,2011,0.000161619,0.073125078,0.031187088,0.039170543,0.012515492,0.034894822
FR02,2012,-0.018501854,0.05432049,-0.034449159,-0.031713876,-0.0352782,-0.004443781
FR03,2010,-0.071858321,0.003315181,-0.035084249,-0.008179355,-0.006509987,-0.004999113
FR03,2011,0.022446188,0.028576762,-0.012231132,0.004720495,0.01722485,0.016753427
FR03,2012,0.016356962,0.00950125,-0.008594902,0.020493348,0.011339964,-0.026750463
FR03,2013,-0.071858321,0.003315181,-0.035084249,-0.008179355,-0.006509987,-0.004999113
FR04,2009,0.037711417,0.090024814,0.003514568,-0.017887694,-0.000330384,0.002537455
FR04,2010,-0.05933689,0.011351,-0.005848499,-0.018986451,-0.00506429,-0.002271305
FR04,2011,-0.052714482,0.010827961,-0.000928586,-0.006677796,-0.003548402,0.001635751
FR04,2012,-0.037703367,-0.067089891,0.009298253,-0.000989506,-0.005758035,-0.000505288
FR04,2013,0.004186682,0.021936924,0.018193569,-0.00094762,-0.008045632,7.62E-07
FR04,2015,0.037711417,0.090024814,0.003514568,-0.017887694,-0.000330384,0.002537455
FR05,2009,0.036712519,-0.062298612,-0.000443225,0.002082832,-0.00175422,-0.005718784
FR05,2010,-0.025191059,-0.005194901,-0.005825804,-0.006574958,-0.000273148,0.0008936
FR05,2011,0.015828173,0.04660124,0.010997999,0.011658868,0.000532262,0.02011686
FR05,2012,-0.035661395,0.093738329,-0.007585696,-0.010286643,-0.023750322,-0.006358648
FR05,2013,-0.10498137,-0.004301379,0.003836346,0.004363183,0.003157972,0.001900715
FR05,2014,-0.028374393,0.105115654,0.001135823,-0.00412168,-0.000904901,0.011445091
FR05,2015,0.036712519,-0.062298612,-0.000443225,0.002082832,-0.00175422,-0.005718784
FR06,2004,-0.011075181,-0.000590017,-0.000867276,-0.005686655,0.00057511,-0.00178259
FR06,2005,-0.081964378,-0.037572096,-0.008144732,-0.001935795,-0.001251325,-0.000167016
FR06,2006,0.034679674,0.055317851,0.008314917,0.003382811,0.002567415,0.0068092
FR06,2007,-0.011075181,-0.000590017,-0.000867276,-0.005686655,0.00057511,-0.00178259
GE01,2010,0.001410771,0.015722743,0.000869963,-0.002710343,0.002226729,-0.000622738
GE01,2012,0.008124606,-0.005266296,0.01290479,0.001024918,0.004207772,0.000160817
GE01,2013,-0.004440423,-0.000595849,-0.005088893,-0.005889665,0.00055317,-0.008152063
GE01,2015,0.015398849,0.038206293,0.014085772,0.001821925,0.010847174,0.003255469
GE01,2016,-0.010700964,-0.021506552,-0.005488113,-0.003303245,-0.000895273,-0.005718895
GE01,2017,-0.005627375,-0.008500184,-0.004358375,-0.006700875,-0.00100213,-0.000872294
GE01,2018,0.016919256,0.003369998,0.006023498,0.005713579,0.005694068,0.003127957
GE01,2019,0.005112554,-0.012773236,0.002136502,-0.000934841,-0.003153108,-0.004234252
GR01,2019,-0.039178978,0.023931184,-0.007210297,-0.003556263,0.000887196,-0.000838131
GR01,2020,0.015791227,0.019807334,0.013163242,0.016519713,-0.000186034,-0.00682502
GR01,2021,-0.008586117,-0.004239375,-0.009276982,-0.016636437,0.004620382,0.000524078
GR01,2022,-0.002442998,0.01214472,0.001659111,-0.001356485,0.004772383,-0.000900063
GR01,2023,-0.004960905,-0.015251933,0.000853976,0.004886315,0.003485784,0.000457942
GR02,2019,-0.011473155,-0.104266343,-0.03024124,-0.0320831,-0.013111398,-0.02501936
GR02,2020,0.025126613,0.033873938,0.020986534,0.010943659,0.006544641,-0.000815357
GR02,2021,0.017407482,0.039842496,0.017097264,-0.010392109,0.004016569,-0.000121249
GR02,2022,-0.033616137,-0.077720544,-0.000453339,-0.018614049,-0.002458721,-0.009133468
GR02,2023,0.049459814,0.052294243,0.037071112,0.017783338,0.025270162,0.002133092
GR03,2019,0.004983015,0.030843676,-0.002757757,0.009423102,0.023226671,0.008093042
GR03,2020,-0.009299553,-0.108960393,-0.003030688,0.001891011,-0.013258751,-0.026780128
GR03,2021,0.039819883,-0.021487064,0.015888724,0.001450864,0.00520701,0.005017894
GR03,2022,0.043264458,-0.013659344,-0.002911907,-0.003584787,0.002078798,-0.008264668
GR03,2023,0.008770669,0.030123543,0.007413001,0.000292938,0.008593978,0.005767955
GR04,2015,0.005817145,-0.053364271,-0.008417919,-0.040533127,-0.028278104,-0.041910014
GR04,2018,-0.087191666,-0.070783778,-0.005490412,-0.001229349,-0.003150109,-0.009891364
GR04,2021,-0.039532451,0.020897111,-0.003719633,0.005261861,-0.000987895,-0.001509536
GR04,2023,-0.035732931,0.076198617,0.009482316,-0.014000661,0.004132096,0.002029652
HU01,2009,-0.022031932,-0.070916623,-0.000408935,-0.003455603,-0.00421503,-0.003061989
HU01,2010,0.030461721,-0.157252639,0.00235612,-0.000388596,-0.000898655,0.004587134
HU01,2011,0.05984289,-0.039708493,0.002924838,-0.004871559,0.003013823,-0.003573213
HU01,2012,-0.034995787,-0.086607998,-0.0028349,0.000314992,-0.003090806,-0.001290947
HU01,2013,-0.011449929,-0.015219676,-0.001848386,0.00013309,0.000767584,-0.002002453
HU01,2014,0.047976962,0.027541354,-0.002146947,0.004522631,-0.007622217,0.001030358
HU01,2015,0.043281441,0.115489576,-0.001930135,0.002093074,0.002304938,0.007935061
HU01,2016,0.030582354,0.101632736,-0.002843845,0.00196141,-0.002457667,0.002659465
HU01,2017,-0.022031932,-0.070916623,-0.000408935,-0.003455603,-0.00421503,-0.003061989
IR01,2004,-0.003235917,0.010939245,-0.004176658,0.002752579,0.000587841,0.00151744
IR01,2005,-0.04647176,0.042831471,-0.002498246,0.00472895,-0.006167793,-0.00013237
IR01,2006,0.002516236,0.019679543,-0.006740601,0.002443064,-0.002824534,-0.000322985
IR01,2007,0.011562024,0.04617597,0.004301109,0.009279267,0.002340669,0.003070673
IR01,2008,-0.040490325,-0.06146249,-0.009834162,-0.001156987,-0.003895669,0.002125255
IR01,2009,-0.002839094,0.060502002,-0.001585894,0.005581786,0.001836987,0.006806517
IR01,2010,-0.032162646,0.034845862,-0.00312645,0.006734128,-0.007818627,0.003004047
IR01,2011,0.003807095,0.012315889,-0.004754676,0.001462866,-0.003509289,2.25E-05
IR01,2012,-0.016974414,-0.020627762,-0.001195371,0.002945015,0.001992583,0.002362696
IR01,2013,0.004249863,0.04156105,-0.001495047,-0.004419113,0.000957424,-0.00611591
IR01,2014,-0.00144772,0.065405709,0.000279551,-0.000302772,0.000754317,0.003472937
IR01,2015,-0.018359767,-0.140397565,0.003895488,0.001492703,-0.000454106,-0.003555176
IR01,2016,0.052287872,-0.002544001,0.000935695,-0.004386763,-0.00096344,0.008216634
IR01,2017,-0.000509787,-0.026604537,0.002844361,0.003045521,-0.00818247,0.000280547
IR01,2018,-0.003235917,0.010939245,-0.004176658,0.002752579,0.000587841,0.00151744
LI01,2012,-0.011770223,0.107382283,-0.002539355,0.003854725,-0.003114438,0.00278745
LI01,2013,0.016259177,0.001806073,-0.002755771,0.002660623,-0.005702436,0.003262267
LI01,2014,0.003026783,0.140735382,-0.003704733,0.005930783,-0.003158527,0.005679067
LI01,2015,-0.046723303,-0.053171127,-0.001672658,-9.73E-05,0.000081261,0.000430991
