basin,country,basin_name,distance_mean,distance_max,distance_min,taxon_resolution,sample_units,number_sites,year,ts_length,taxa,total_taxa,urban_mean,crop_mean,forest_mean,eqr,temperature_trend,lat_center,lon_center,taxonomic_bray,biological_bray,ecological_bray,taxonomic_chiSq
DE04,denmark,Ribe,18.31172908,29.91703683,2.824938178,mixed,0.6/m2,6,2012,16,38,87,0.014194942,0.929378436,0.010257628,0.480555555,0.01890631,55.26344862,9.056735038,0.757824525,0.341314418,0.183733126,0.856396651
DE04,denmark,Ribe,18.31172908,29.91703683,2.824938178,mixed,0.6/m2,6,2013,16,33,87,0.014194942,0.929378436,0.010257628,0.416666667,0.01890631,55.26344862,9.056735038,0.782246549,0.463710005,0.282791965,0.84229034
DE04,denmark,Ribe,18.31172908,29.91703683,2.824938178,mixed,0.6/m2,6,2015,16,40,87,0.014194942,0.929378436,0.010257628,0.544444444,0.01890631,55.26344862,9.056735038,0.849113924,0.504454214,0.264685527,0.836395461
DE04,denmark,Ribe,18.31172908,29.91703683,2.824938178,mixed,0.6/m2,6,2016,16,44,87,0.014194942,0.920306337,0.010601074,0.544444444,0.01890631,55.26344862,9.056735038,0.763636364,0.414992638,0.172434534,0.849690989
DE04,denmark,Ribe,18.31172908,29.91703683,2.824938178,mixed,0.6/m2,6,2018,16,34,87,0.014194942,0.920306337,0.010601074,0.497222222,0.01890631,55.26344862,9.056735038,0.782743637,0.498679093,0.22978531,0.828106658
DE05,denmark,Skjern,28.66418035,53.2084579,3.967795589,mixed,0.6/m2,8,1999,19,60,133,0.012502267,0.872972205,0.049236405,0.510416667,0.008631999,55.9326642,8.79699066,0.858353666,0.495746853,0.357819177,0.895645853
DE05,denmark,Skjern,28.66418035,53.2084579,3.967795589,mixed,0.6/m2,8,2000,19,56,133,0.012912661,0.872561812,0.049236405,0.515046296,0.008631999,55.9326642,8.79699066,0.826627707,0.473152461,0.361038707,0.890873948
DE05,denmark,Skjern,28.66418035,53.2084579,3.967795589,mixed,0.6/m2,8,2001,19,59,133,0.013038923,0.872435549,0.049236405,0.545138889,0.008631999,55.9326642,8.79699066,0.89367559,0.432196483,0.342539914,0.852471699
DE05,denmark,Skjern,28.66418035,53.2084579,3.967795589,mixed,0.6/m2,8,2002,19,61,133,0.014188155,0.872524817,0.049236405,0.581018519,0.008631999,55.9326642,8.79699066,0.85569607,0.477661926,0.306889921,0.881552897
DE05,denmark,Skjern,28.66418035,53.2084579,3.967795589,mixed,0.6/m2,8,2003,19,59,133,0.014402882,0.872310091,0.049236405,0.476273148,0.008631999,55.9326642,8.79699066,0.873335454,0.548623119,0.414233804,0.927113538
DE05,denmark,Skjern,28.66418035,53.2084579,3.967795589,mixed,0.6/m2,8,2004,19,58,133,0.014402882,0.872310091,0.049236405,0.519097222,0.008631999,55.9326642,8.79699066,0.884748563,0.529862527,0.400283506,0.8805835
DE05,denmark,Skjern,28.66418035,53.2084579,3.967795589,mixed,0.6/m2,8,2005,19,62,133,0.015514314,0.871198658,0.049236405,0.591435185,0.008631999,55.9326642,8.79699066,0.839466992,0.473834099,0.351197526,0.887950632
DE05,denmark,Skjern,28.66418035,53.2084579,3.967795589,mixed,0.6/m2,8,2006,19,60,133,0.016125867,0.870587105,0.049236405,0.646412037,0.008631999,55.9326642,8.79699066,0.862167819,0.565367897,0.366140093,0.881275598
